Breakdown,TTM,12/30/2022,12/30/2021,12/30/2020
Operating Cash Flow,"-1053100","-1053100","1429600","-124100"
Investing Cash Flow,"232500","232500","-25100","-49200"
Financing Cash Flow,"-580500","-580500","-231600","-179800"
End Cash Position,"6432800","6432800","7832900","6660100"
Capital Expenditure,"-20100","-20100","-22600","-26800"
Issuance of Capital Stock,"8800","8800","18700","3300"
Issuance of Debt,"204000","204000","576400","270000"
Repayment of Debt,"-475300","-475300","-486100","-332100"
Repurchase of Capital Stock,-300,-3000,"-3900"
Free Cash Flow,"-1073200","-1073200","1407000","-150900"
