Breakdown,TTM,12/30/2022,12/30/2021,12/30/2020
Total Revenue,"-11893000","-11893000","17937900","8061000"
Total Expenses,"-11893700","-11893700","17095500","7634600"
Pretax Income,700,700,"842400","426400"
Tax Provision,"-404700","-404700","554800","164400"
Net Income Common Stockholders,"405000","405000","286700","262000"
Diluted NI Available to Com Stockholders,"405000","405000","286700","262000"
Basic EPS,0,0.75,0.53,0.49
Diluted EPS,0,0.74,0.53,0.49
Basic Average Shares,0,"542700","537700","533500"
Diluted Average Shares,0,"547800","546200","539300"
Net Income from Continuing & Discontinued Operation,"405000","405000","286700","262000"
Normalized Income,"405000","405000","286700","262000"
Rent Expense Supplemental,0,0,0,0
Reconciled Depreciation,"34200","34200","35900","31500"
Net Income from Continuing Operation Net Minority Interest,"405000","405000","286700","262000"
Tax Rate for Calcs,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0
